filing_id,politician,member_status,state_district,source_pdf,source_year,needs_review,original_pdf_url,review_level,review_reason,pages_with_words,pages_with_geometry,table_pages,recovered_pages,suspected_missed_pages,geometry_error
8218490,,,,8218490.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218490.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218491,,,,8218491.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218491.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218500,,,,8218500.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218500.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218505,,,,8218505.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218505.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218506,,,,8218506.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218506.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218507,,,,8218507.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218507.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218512,,,,8218512.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218512.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218519,,,,8218519.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218519.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218522,,,,8218522.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218522.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218523,,,,8218523.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218523.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218541,,,,8218541.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218541.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218581,,,,8218581.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218581.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8219063,,,,8219063.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8219063.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218518,,,,8218518.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218518.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218527,,,,8218527.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218527.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218534,,,,8218534.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218534.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218535,,,,8218535.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218535.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218540,,,,8218540.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218540.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218543,,,,8218543.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218543.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218545,,,,8218545.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218545.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218548,,,,8218548.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218548.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218557,,,,8218557.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218557.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218558,,,,8218558.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218558.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218560,,,,8218560.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218560.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218561,,,,8218561.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218561.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218564,,,,8218564.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218564.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218565,,,,8218565.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218568,,,,8218568.pdf,2022,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218568.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
